prompt	generated_text	model_name	temperature	num_beams	text	index_paraphrase	altered_text	sentence_number
Today I am feeling	Today I am feeling a bit down. I have been feeling this way for a while now. The past few weeks have not been great for me, and I just feel like everything is going wrong. It's not like I'm doing anything wrong, it's just that things are not going the way I want them to go. There is a lot going on in my life right now, but I don't know what to do about it. Is there anything I can do to make things better? Or is it just	falcon-1b	1.0449765806303053	3	Today I am feeling a bit down.I have been feeling this way for a while now.The past few weeks have not been great for me and I just feel like everything is going wrong.Its not like Im doing anything wrong its just that things are not going the way I want them to go.There is a lot going on in my life right now but I dont know what to do about it.Is there anything I can do to make things better	4	Today I am feeling a bit down.I have been feeling this way for a while now.The past few weeks have not been great for me and I just feel like everything is going wrong.Its not like Im doing anything wrong its just that things are not going the way I want them to go.There is a lot going on in my life right now but I dont know what to do about it. I've got a lot to do with my life, but I don't know how to do it..Is there anything I can do to make things better	6
Today I am feeling	Today I am feeling a little under the weather. I have a cold, but I also have the flu, and I'm not sure which one is making me sick. It's hard to tell, because I don't have any symptoms of either one. The cold is more of a head cold than a full-blown cold. My nose is runny, my throat is scratchy, I feel like I need to sleep all the time, etc. And my body aches a lot. When I wake up in	falcon-1b	1.040852400183701	5	Today I am feeling a little under the weather.I have a cold but I also have the flu and Im not sure which one is making me sick.Its hard to tell because I dont have any symptoms of either one.The cold is more of a head cold than a fullblown cold.My nose is runny my throat is scratchy I feel like I need to sleep all the time etc.And my body aches a lot	4	Today I am feeling a little under the weather.I have a cold but I also have the flu and Im not sure which one is making me sick.Its hard to tell because I dont have any symptoms of either one.The cold is more of a head cold than a fullblown cold.My nose is runny my throat is scratchy I feel like I need to sleep all the time etc. My nose's naive, my throat's so I've got to sleep every time..And my body aches a lot	6
Today I am feeling	Today I am feeling a bit down. I have a lot on my mind and I can't seem to get it out of my head. It's been a while since I've felt this way, and it's making me a little sad. What can I do to cheer myself up? I don't want to be sad all the time. Can you help me? Thank you. ___________________________________________   I'm feeling down because I had a bad day at work. My boss was really mean to me and	falcon-1b	1.017738552571567	4	Today I am feeling a bit down.I have a lot on my mind and I cant seem to get it out of my head.Its been a while since Ive felt this way and its making me a little sad.What can I do to cheer myself up.I dont want to be sad all the time.Can you help me.Thank you.   Im feeling down because I had a bad day at work	6	Today I am feeling a bit down.I have a lot on my mind and I cant seem to get it out of my head.Its been a while since Ive felt this way and its making me a little sad.What can I do to cheer myself up.I dont want to be sad all the time.Can you help me.Thank you. I thank you..   Im feeling down because I had a bad day at work	8
Today I am feeling	Today I am feeling a bit under the weather, so I thought I would take a break from writing and instead write about something that makes me feel better: food. I have been wanting to write a food post for a while now, but I never seem to find the time to do it. Well, today is the day! I hope you enjoy reading it as much as I enjoyed writing it! Here are some of my favorite foods that make me happy. What are yours? Let me know in the comments below!	falcon-1b	0.9835239477495586	4	Today I am feeling a bit under the weather so I thought I would take a break from writing and instead write about something that makes me feel better food.I have been wanting to write a food post for a while now but I never seem to find the time to do it.Well today is the day.I hope you enjoy reading it as much as I enjoyed writing it.Here are some of my favorite foods that make me happy.What are yours	1	Today I am feeling a bit under the weather so I thought I would take a break from writing and instead write about something that makes me feel better food.I have been wanting to write a food post for a while now but I never seem to find the time to do it. I wanted to write a food post, but it's never been possible..Well today is the day.I hope you enjoy reading it as much as I enjoyed writing it.Here are some of my favorite foods that make me happy.What are yours	6
Today I am feeling	Today I am feeling a little down. I don’t know why, but I just feel like I can‘t do it anymore. It feels like my body is giving up. My heart is breaking. There is so much I want to do, so many things I would like to accomplish. But I feel so tired, and so unmotivated. And I know that I should be doing more, I have a lot of things on my to-do list, things that need to be done,	falcon-1b	0.9677464942451136	3	Today I am feeling a little down.I dont know why but I just feel like I cant do it anymore.It feels like my body is giving up.My heart is breaking.There is so much I want to do so many things I would like to accomplish.But I feel so tired and so unmotivated	3	Today I am feeling a little down.I dont know why but I just feel like I cant do it anymore.It feels like my body is giving up.My heart is breaking. I have a broken heart..There is so much I want to do so many things I would like to accomplish.But I feel so tired and so unmotivated	6
Today I am feeling	Today I am feeling a bit down about the state of the world and I just want to rant about my thoughts. I have been thinking about how life has been going for the past few years, and there are a lot of things that are going on that I do not understand. Things like the current political situation and how it’s going to affect us all, my own health and my friends, how we are living right now in this time, all these things are very important to me, so I thought I	falcon-1b	1.8120997309945488	3	Today I am feeling a bit down about the state of the world and I just want to rant about my thoughts.I have been thinking about how life has been going for the past few years and there are a lot of things that are going on that I do not understand	1	Today I am feeling a bit down about the state of the world and I just want to rant about my thoughts.I have been thinking about how life has been going for the past few years and there are a lot of things that are going on that I do not understand. I've been thinking about the last few years, and I've seen so much of this stuff that I don't know.	2
Today I am feeling	"Today I am feeling kind of lost when it seems there are way too many good titles out there already. When we speak at meetings at the University or with colleagues about research issues, which title would you chose as a response: Research paper a; research article and we will talk when you get there. (If that paper ends with the term ""but"", just add two more comma) or ""research article""; this means paper 1 (saved) was an old version you can access at this URL; please review it"	falcon-1b	4.64714334936572	3	Today I am feeling kind of lost when it seems there are way too many good titles out there already.When we speak at meetings at the University or with colleagues about research issues which title would you chose as a response Research paper a research article and we will talk when you get there	1	Today I am feeling kind of lost when it seems there are way too many good titles out there already.When we speak at meetings at the University or with colleagues about research issues which title would you chose as a response Research paper a research article and we will talk when you get there. When talking to students from the University and their colleagues about the research problem, we'll discuss the answer to the research question.	2
Today I am feeling	Today I am feeling a bit down. I don’t know why, but I just feel like I can‘t do anything right now. The past few days I have been feeling really down, and I think it has something to do with the fact that I started a new job a few weeks ago. It is a good job, I like it, the people I work with are friendly and helpful, it is just that it took me a while to get used to the new environment. Now I feel	falcon-1b	1.010812921423184	5	Today I am feeling a bit down.I dont know why but I just feel like I cant do anything right now.The past few days I have been feeling really down and I think it has something to do with the fact that I started a new job a few weeks ago.It is a good job I like it the people I work with are friendly and helpful it is just that it took me a while to get used to the new environment	2	Today I am feeling a bit down.I dont know why but I just feel like I cant do anything right now.The past few days I have been feeling really down and I think it has something to do with the fact that I started a new job a few weeks ago. Last few days, I felt very, very weak, and I'd say I started a new job a few weeks ago..It is a good job I like it the people I work with are friendly and helpful it is just that it took me a while to get used to the new environment	4
Today I am feeling	Today I am feeling a little down. I have a job that I really enjoy, but I also have some health issues that have been going on for a while now. There is nothing I can do about them, and I'm starting to feel that they are going to affect my ability to work. It's not a big deal, I just want to be able to do my job well and not worry about my health. Is there anything I could do to improve my quality of life? I don't really have much	falcon-1b	1.0297614542951767	3	Today I am feeling a little down.I have a job that I really enjoy but I also have some health issues that have been going on for a while now.There is nothing I can do about them and Im starting to feel that they are going to affect my ability to work.Its not a big deal I just want to be able to do my job well and not worry about my health.Is there anything I could do to improve my quality of life	2	Today I am feeling a little down.I have a job that I really enjoy but I also have some health issues that have been going on for a while now.There is nothing I can do about them and Im starting to feel that they are going to affect my ability to work. I can't do anything about them, and I'm starting to think they're going to have a lot of implications for their work..Its not a big deal I just want to be able to do my job well and not worry about my health.Is there anything I could do to improve my quality of life	5
Today I am feeling	Today I am feeling a bit down. I don't know why. Maybe it's because I'm tired. Or maybe it has something to do with the fact that I have so much work to get done and I feel like I should be doing more of it, but I just can't seem to find the motivation to make any progress on it. It's not that my work is bad, it just feels like it could be done better. There are so many things I could do to improve it and make it more	falcon-1b	1.04487501677689	5	Today I am feeling a bit down.I dont know why.Maybe its because Im tired.Or maybe it has something to do with the fact that I have so much work to get done and I feel like I should be doing more of it but I just cant seem to find the motivation to make any progress on it.Its not that my work is bad it just feels like it could be done better	3	Today I am feeling a bit down.I dont know why.Maybe its because Im tired.Or maybe it has something to do with the fact that I have so much work to get done and I feel like I should be doing more of it but I just cant seem to find the motivation to make any progress on it. Or maybe I had something to do with my job, and I thought I'd do something more, but I didn't find the motivation to make this work..Its not that my work is bad it just feels like it could be done better	5
The thing I like most in the world is	The thing I like most in the world is the fact that I can write my own code. I don’t have to depend on someone else to write it for me. That is a very empowering feeling. It makes me feel like I am in control of my life. The thing that scares me the most is that there is so much out there to learn. So many new things to master. How do I start? What are the first things I should learn? And how can I learn them? I want	falcon-1b	1.0098249999510671	5	The thing I like most in the world is the fact that I can write my own code.I dont have to depend on someone else to write it for me.That is a very empowering feeling.It makes me feel like I am in control of my life.The thing that scares me the most is that there is so much out there to learn.So many new things to master.How do I start.What are the first things I should learn.And how can I learn them	8	The thing I like most in the world is the fact that I can write my own code.I dont have to depend on someone else to write it for me.That is a very empowering feeling.It makes me feel like I am in control of my life.The thing that scares me the most is that there is so much out there to learn.So many new things to master.How do I start.What are the first things I should learn.And how can I learn them. How to learn from them?	9
The thing I like most in the world is	The thing I like most in the world is the fact that I can write my own code. I don’t have to worry about the limitations of the language I am writing in, or the constraints imposed by the platform on which the code is running. If I want to write a new feature, I just write it, and it works on all the platforms I need it to work on. This is a huge advantage over languages like C++ and Java, where you have a lot of restrictions on what you can	falcon-1b	0.9771851843715272	5	The thing I like most in the world is the fact that I can write my own code.I dont have to worry about the limitations of the language I am writing in or the constraints imposed by the platform on which the code is running.If I want to write a new feature I just write it and it works on all the platforms I need it to work on	2	The thing I like most in the world is the fact that I can write my own code.I dont have to worry about the limitations of the language I am writing in or the constraints imposed by the platform on which the code is running.If I want to write a new feature I just write it and it works on all the platforms I need it to work on. If I want to write a new feature, I'll do it on all my platforms.	3
The thing I like most in the world is	The thing I like most in the world is being a girl, especially the first thing of the day: brushing my hair and makeup. I love to do it by myself because it allows me to explore and get creative. In fact, one of my latest hairstyles is a short pixie cut, but I really enjoy the fact that I can change up the look whenever I want with just a simple hairbrush and a brush. My favorite products for a quick and easy makeup look are concealer, mascara, foundation,	falcon-1b	2.337638118159638	5	The thing I like most in the world is being a girl especially the first thing of the day brushing my hair and makeup.I love to do it by myself because it allows me to explore and get creative.In fact one of my latest hairstyles is a short pixie cut but I really enjoy the fact that I can change up the look whenever I want with just a simple hairbrush and a brush	2	The thing I like most in the world is being a girl especially the first thing of the day brushing my hair and makeup.I love to do it by myself because it allows me to explore and get creative.In fact one of my latest hairstyles is a short pixie cut but I really enjoy the fact that I can change up the look whenever I want with just a simple hairbrush and a brush. One of my very shortest hairstyles, but I really like that. I can change my hair in a single hairstyle and in a hair-style.	3
The thing I like most in the world is	The thing I like most in the world is the smell of a freshly brewed cup of coffee. It’s the only thing that makes me want to get out of bed in a morning. I love the way it smells, and the feeling it gives me when I drink it. And I know that I am not alone in this. Coffee is one of the most popular drinks on the planet, so it must be good for you, right? Well, not exactly. There are some downsides to drinking coffee,	falcon-1b	1.044545858463782	5	The thing I like most in the world is the smell of a freshly brewed cup of coffee.Its the only thing that makes me want to get out of bed in a morning.I love the way it smells and the feeling it gives me when I drink it.And I know that I am not alone in this.Coffee is one of the most popular drinks on the planet so it must be good for you right.Well not exactly	2	The thing I like most in the world is the smell of a freshly brewed cup of coffee.Its the only thing that makes me want to get out of bed in a morning.I love the way it smells and the feeling it gives me when I drink it. I like the sound of it and the feeling of it..And I know that I am not alone in this.Coffee is one of the most popular drinks on the planet so it must be good for you right.Well not exactly	6
The thing I like most in the world is	The thing I like most in the world is music. I listen to it 24/7. It is what makes me feel good, and it gives me a sense of well-being. That is why it is important to me that the music I'm listening to is of a high quality. For this reason, I am always on the lookout for new music that I can fall in love with. The only problem is that there's so much music out there, that it becomes difficult to find something that stands out from	falcon-1b	1.4511036208196146	4	The thing I like most in the world is music.I listen to it 247.It is what makes me feel good and it gives me a sense of wellbeing.That is why it is important to me that the music Im listening to is of a high quality.For this reason I am always on the lookout for new music that I can fall in love with	2	The thing I like most in the world is music.I listen to it 247.It is what makes me feel good and it gives me a sense of wellbeing. I feel good and I feel well..That is why it is important to me that the music Im listening to is of a high quality.For this reason I am always on the lookout for new music that I can fall in love with	5
The thing I like most in the world is	The thing I like most in the world is my family. They are the most important people in my life. I love them with all my heart. My family is the best thing that has ever happened to me. The most amazing thing is that I have a family that loves me unconditionally. No matter what I do, they are always there for me and support me in every way possible. There is no one else in this world who loves and supports me as much as my parents do. When I was a child	falcon-1b	1.0859628949116968	5	The thing I like most in the world is my family.They are the most important people in my life.I love them with all my heart.My family is the best thing that has ever happened to me.The most amazing thing is that I have a family that loves me unconditionally.No matter what I do they are always there for me and support me in every way possible.There is no one else in this world who loves and supports me as much as my parents do	6	The thing I like most in the world is my family.They are the most important people in my life.I love them with all my heart.My family is the best thing that has ever happened to me.The most amazing thing is that I have a family that loves me unconditionally.No matter what I do they are always there for me and support me in every way possible.There is no one else in this world who loves and supports me as much as my parents do. No one here loves me or supporting me like my parents.	7
The thing I like most in the world is	The thing I like most in the world is music. I listen to it all the time, and it makes me feel good. Music is a part of my life, I can't imagine my world without it. It is the one thing that I always want to be able to do, even if I'm in a bad mood or sad. Listening to music is one of the things that helps me get through the day, it gives me a reason to go on and keep going even when I don't feel like	falcon-1b	1.0149931527821416	4	The thing I like most in the world is music.I listen to it all the time and it makes me feel good.Music is a part of my life I cant imagine my world without it.It is the one thing that I always want to be able to do even if Im in a bad mood or sad	3	The thing I like most in the world is music.I listen to it all the time and it makes me feel good.Music is a part of my life I cant imagine my world without it.It is the one thing that I always want to be able to do even if Im in a bad mood or sad. I always want to do what I can do, even if I'm feeling a little mood or sadness.	4
The thing I like most in the world is	The thing I like most in the world is the feeling of being loved. It is a feeling that I don’t get to experience often, but when I do, it is very special. I love the way that my partner makes me feel, and I am very lucky to have him in my life. He is an amazing person and a great lover. We have a lot of fun together, especially when we are having sex. The best sex I have ever had was with him. This is why I want	falcon-1b	1.035429097493871	3	The thing I like most in the world is the feeling of being loved.It is a feeling that I dont get to experience often but when I do it is very special.I love the way that my partner makes me feel and I am very lucky to have him in my life.He is an amazing person and a great lover.We have a lot of fun together especially when we are having sex.The best sex I have ever had was with him	3	The thing I like most in the world is the feeling of being loved.It is a feeling that I dont get to experience often but when I do it is very special.I love the way that my partner makes me feel and I am very lucky to have him in my life.He is an amazing person and a great lover. He's a wonderful person, he's a very loved man..We have a lot of fun together especially when we are having sex.The best sex I have ever had was with him	6
The thing I like most in the world is	The thing I like most in the world is the smell of a freshly brewed cup of coffee. I love it so much that I have been known to wake up at 3:00 a.m. just to make myself a fresh cup. It's the best way to start the day. The smell is so strong that it wakes me up and I can't go back to sleep. If I'm not drinking coffee, I feel like I am missing out on something. There is nothing better than a good, strong cup	falcon-1b	0.9677032951957606	3	The thing I like most in the world is the smell of a freshly brewed cup of coffee.I love it so much that I have been known to wake up at 300 am just to make myself a fresh cup.Its the best way to start the day.The smell is so strong that it wakes me up and I cant go back to sleep.If Im not drinking coffee I feel like I am missing out on something	4	The thing I like most in the world is the smell of a freshly brewed cup of coffee.I love it so much that I have been known to wake up at 300 am just to make myself a fresh cup.Its the best way to start the day.The smell is so strong that it wakes me up and I cant go back to sleep.If Im not drinking coffee I feel like I am missing out on something. I guess I'm missing something when I'm drinking coffee.	5
The thing I like most in the world is	The thing I like most in the world is music. I listen to it all the time, and I love it. Music makes me feel good, it lifts my mood, gets me in a good mood. It makes my day better, my life better. And I'm not the only one who feels this way. People from all over the globe, all walks of life, have the same reaction to music: it makes them feel better and happier. This is what makes music so powerful. When I think about it	falcon-1b	1.2227371108963023	4	The thing I like most in the world is music.I listen to it all the time and I love it.Music makes me feel good it lifts my mood gets me in a good mood.It makes my day better my life better.And Im not the only one who feels this way.People from all over the globe all walks of life have the same reaction to music it makes them feel better and happier.This is what makes music so powerful	5	The thing I like most in the world is music.I listen to it all the time and I love it.Music makes me feel good it lifts my mood gets me in a good mood.It makes my day better my life better.And Im not the only one who feels this way.People from all over the globe all walks of life have the same reaction to music it makes them feel better and happier. People everywhere in the world have the same reaction to music; they feel happier and happier..This is what makes music so powerful	7
When I was a little kid	When I was a little kid, I used to love to play video games. One of my favorite games was Super Mario Bros. I would play the game for hours on end, and I still remember the first time I played it. The game was so addicting that I could not stop playing it, even when my parents were trying to get me to go to bed. When I got tired of playing, they would take me outside and play with me for a few hours. This is how I learned	falcon-1b	1.032897677589511	4	When I was a little kid I used to love to play video games.One of my favorite games was Super Mario Bros.I would play the game for hours on end and I still remember the first time I played it.The game was so addicting that I could not stop playing it even when my parents were trying to get me to go to bed.When I got tired of playing they would take me outside and play with me for a few hours	2	When I was a little kid I used to love to play video games.One of my favorite games was Super Mario Bros.I would play the game for hours on end and I still remember the first time I played it. I've been playing for hours, but I've remembered my first game..The game was so addicting that I could not stop playing it even when my parents were trying to get me to go to bed.When I got tired of playing they would take me outside and play with me for a few hours	5
When I was a little kid	"When I was a little kid, someone would often tell me how a horse can hear me. Like they would make a lot of clucking noises while I rode the horses and then they'd hop in the barn. My question was ""How would you do it?"" I thought the answer was just talk quietly to them. It turns out that they're really aware and hear you. They are also pretty good at following my lead. In one experiment they even got us to ride a camel and followed directions!"	falcon-1b	3.330408353783527	3	When I was a little kid someone would often tell me how a horse can hear me.Like they would make a lot of clucking noises while I rode the horses and then theyd hop in the barn.My question was How would you do it.I thought the answer was just talk quietly to them.It turns out that theyre really aware and hear you.They are also pretty good at following my lead	1	When I was a little kid someone would often tell me how a horse can hear me.Like they would make a lot of clucking noises while I rode the horses and then theyd hop in the barn. Like them, they had a lot of noises when I pushed a horse, then they were waiting for us in the barn..My question was How would you do it.I thought the answer was just talk quietly to them.It turns out that theyre really aware and hear you.They are also pretty good at following my lead	6
When I was a little kid	"When I was a little kid, I used to play a game with my friends. We would take turns drawing a picture of a car, and then we would give each other a description of the car. For example, the description could be ""it's a red car with a black roof"" or ""the car has a big engine and a small trunk"". After we gave each others descriptions, we had to draw the same car in our own style. This was really fun and we played it a lot"	falcon-1b	1.1111659581237634	4	When I was a little kid I used to play a game with my friends.We would take turns drawing a picture of a car and then we would give each other a description of the car.For example the description could be its a red car with a black roof or the car has a big engine and a small trunk.After we gave each others descriptions we had to draw the same car in our own style	1	When I was a little kid I used to play a game with my friends.We would take turns drawing a picture of a car and then we would give each other a description of the car. We could compare a car to a description of a car..For example the description could be its a red car with a black roof or the car has a big engine and a small trunk.After we gave each others descriptions we had to draw the same car in our own style	4
When I was a little kid	When I was a little kid in my childhood I always had an opinion on everything and my father gave me the right one all the time. Today, we talk more frequently. I know things well now and know not all that well. At my young age I made my thoughts clear without any concern about others but now when I speak they always sound too opinionated and not informed enough, I apologize to you for my previous mistakes, do not lose any more, for those that you may think I offended,	falcon-1b	4.372208372359625	4	When I was a little kid in my childhood I always had an opinion on everything and my father gave me the right one all the time.Today we talk more frequently.I know things well now and know not all that well	1	When I was a little kid in my childhood I always had an opinion on everything and my father gave me the right one all the time.Today we talk more frequently. We talk more often nowadays..I know things well now and know not all that well	3
